"inst","name","v1","v2","v3","v4","uint"
"http://www.almaden.ibm.com","EMPTY","17","0","4","0","1.1872699899631984"
"http://www.comp.nus.edu","EMPTY","0","0","0","28","1.2043325526932085"
"http://pages.cs.wisc.edu","EMPTY","0","0","0","26","1.2094248679265835"
"EMPTY","Marianne Winslett","0","0","0","24","1.2145171831599586"
"http://dais.cs.uiuc.edu","EMPTY","0","0","0","24","1.2145171831599586"
"http://dais.cs.uiuc.edu","Marianne Winslett","0","0","0","24","1.2145171831599586"
"http://www.wikiwand.com","Rajeev Rastogi","11","0","2","0","1.2147127703540435"
"EMPTY","Rajeev Rastogi","11","0","2","0","1.2147127703540435"
"http://www.wikiwand.com","EMPTY","11","0","2","0","1.2147127703540435"
"http://www.cs.cornell.edu","EMPTY","0","0","0","23","1.2170633407766462"
"http://www.almaden.ibm.com","Hamid Pirahesh","9","0","1","0","1.2213320185710177"
"EMPTY","Hamid Pirahesh","9","0","1","0","1.2213320185710177"
"http://www.cs.cornell.edu","Johannes Gehrke","0","0","0","19","1.2272479712433964"
"EMPTY","Johannes Gehrke","0","0","0","19","1.2272479712433964"
"http://www.cs.ucsb.edu","EMPTY","0","0","0","18","1.229794128860084"
"http://www.cs.wisc.edu","EMPTY","0","0","0","17","1.2323402864767714"
"EMPTY","Charu C. Aggarwal","6","0","0","0","1.2346958226676108"
"http://researcher.watson.ibm.com","Charu C. Aggarwal","6","0","0","0","1.2346958226676108"
"http://researcher.ibm.com","EMPTY","7","0","1","0","1.2350548502403549"
"http://researcher.ibm.com","Guy M. Lohman","7","0","1","0","1.2350548502403549"
"EMPTY","Guy M. Lohman","7","0","1","0","1.2350548502403549"
"EMPTY","Beng Chin Ooi","0","0","0","15","1.2374326017101465"
"http://www.comp.nus.edu","Beng Chin Ooi","0","0","0","15","1.2374326017101465"
"http://www.cis.upenn.edu","EMPTY","0","0","0","14","1.239978759326834"
"http://www.cs.toronto.edu","EMPTY","0","0","0","14","1.239978759326834"
"http://www.cs.duke.edu","EMPTY","0","0","0","14","1.239978759326834"
"http://abiteboul.com","EMPTY","5","0","0","0","1.241517346549752"
"http://abiteboul.com","Serge Abiteboul","5","0","0","0","1.241517346549752"
"EMPTY","Serge Abiteboul","5","0","0","0","1.241517346549752"
"EMPTY","Samuel Madden 0001","0","0","0","13","1.2425249169435215"
"http://db.csail.mit.edu","EMPTY","0","0","0","13","1.2425249169435215"
"http://db.csail.mit.edu","Samuel Madden 0001","0","0","0","13","1.2425249169435215"
"http://www.ics.uci.edu","EMPTY","0","0","0","13","1.2425249169435215"
"http://domino.research.ibm.com","EMPTY","9","0","4","0","1.2431415189026431"
"http://hanj.cs.illinois.edu","Jiawei Han 0001","0","0","0","11","1.2476172321768968"
"http://www.cs.washington.edu","EMPTY","0","0","0","11","1.2476172321768968"
"EMPTY","Gautam Das 0001","0","0","0","11","1.2476172321768968"
"http://hanj.cs.illinois.edu","EMPTY","0","0","0","11","1.2476172321768968"
"http://ranger.uta.edu","Gautam Das 0001","0","0","0","11","1.2476172321768968"
"EMPTY","Jiawei Han 0001","0","0","0","11","1.2476172321768968"
"http://ranger.uta.edu","EMPTY","0","0","0","11","1.2476172321768968"
"EMPTY","Ramakrishnan Srikant","4","0","0","0","1.2483388704318936"
"http://www.real-programmer.com","Christoph Bussler","4","0","0","0","1.2483388704318936"
"http://www.real-programmer.com","EMPTY","4","0","0","0","1.2483388704318936"
"http://research.microsoft.com","Jonathan Goldstein","4","0","0","0","1.2483388704318936"
"http://www.rsrikant.com","EMPTY","4","0","0","0","1.2483388704318936"
"EMPTY","Jonathan Goldstein","4","0","0","0","1.2483388704318936"
"http://www.rsrikant.com","Ramakrishnan Srikant","4","0","0","0","1.2483388704318936"
"EMPTY","Christoph Bussler","4","0","0","0","1.2483388704318936"
"http://www.cs.toronto.edu","Nick Koudas","0","0","0","10","1.2501633897935842"
"EMPTY","Jignesh M. Patel","0","0","0","10","1.2501633897935842"
"http://pages.cs.wisc.edu","Jignesh M. Patel","0","0","0","10","1.2501633897935842"
"http://www.cs.purdue.edu","EMPTY","0","0","0","10","1.2501633897935842"
"http://www.cse.cuhk.edu","EMPTY","0","0","0","10","1.2501633897935842"
"EMPTY","Raghu Ramakrishnan","0","0","0","10","1.2501633897935842"
"http://www.cs.cmu.edu","EMPTY","0","0","0","10","1.2501633897935842"
"EMPTY","Yufei Tao 0001","0","0","0","10","1.2501633897935842"
"EMPTY","Nick Koudas","0","0","0","10","1.2501633897935842"
"http://www.cse.cuhk.edu","Yufei Tao 0001","0","0","0","10","1.2501633897935842"
"http://pages.cs.wisc.edu","Raghu Ramakrishnan","0","0","0","10","1.2501633897935842"
"https://www.linkedin.com","EMPTY","10","0","6","0","1.2510510425778054"
"http://www.research.att.com","EMPTY","10","0","6","0","1.2510510425778054"
"http://www-db.stanford.edu","EMPTY","0","0","0","9","1.2527095474102719"
"EMPTY","Kian-Lee Tan","0","0","0","9","1.2527095474102719"
"http://www.cse.unsw.edu","EMPTY","0","0","0","9","1.2527095474102719"
"http://www.ntu.edu","EMPTY","0","0","0","9","1.2527095474102719"
"http://www.comp.nus.edu","Kian-Lee Tan","0","0","0","9","1.2527095474102719"
"EMPTY","John R. Smith","3","0","0","0","1.255160394314035"
"http://domino.research.ibm.com","John R. Smith","3","0","0","0","1.255160394314035"
"http://db.bell-labs.com","Arnaud Sahuguet","3","0","0","0","1.255160394314035"
"http://www.cityescapesphotography.com","EMPTY","3","0","0","0","1.255160394314035"
"http://db.bell-labs.com","EMPTY","3","0","0","0","1.255160394314035"
"http://www.cityescapesphotography.com","Terence Critchlow","3","0","0","0","1.255160394314035"
"EMPTY","Arnaud Sahuguet","3","0","0","0","1.255160394314035"
"EMPTY","Terence Critchlow","3","0","0","0","1.255160394314035"
